order_id,customer_id,order_date,order_status,discount_amount,shipping_cost
119297,11533,2024-07-22,Completed,8.98,0.0
114929,8942,2025-05-25,completed,5.75,12.86
109138,5448,2024-11-01,Completed,,0.0
122383,13372,2025-04-02,Cancelled,,0.0
116553,9904,2025-11-13,delivered,0.0,12.51
102275,1348,2023-11-05,SHIPPED,0.0,0.0
117877,10669,2023-11-07,Refunded,8.55,0.0
107090,4266,2023-12-23,Delivered,$49.39,0.0
115607,9344,2025-02-22,Returned,0.0,0.0
120249,12103,2024-12-09,Completed,0.0,11.48
123324,13940,2024-12-20,COMPLETE,,10.27
112422,7444,2024-11-07,Delivered,0.0,5.66
120697,12357,2024-05-15 09:30:00,complete,0.0,0.0
109987,5955,2025-07-03,Completed,0.0,8.57
111187,6690,2024-02-20,COMPLETE,4.35,6.38
111369,6799,2025-11-24,returned,,8.51
125595,15327,2023-01-02,complete,,0.0
110300,6150,2023-11-01,Completed,,10.15
122681,13547,2025-05-28,completed,$28.98,0.0
117377,10392,2023-01-27,SHIPPED,,7.2
100099,56,2025-10-23,complete,0.0,0.0
122223,13287,2025-05-29,Completed,6.56,8.49
122375,13367,2023-04-10,Refunded,0.0,10.6
102974,1768,2024-03-30,delivered,0.0,0.0
104783,2873,2025-12-06,COMPLETE,,0.0
123691,14161,2023-11-27,Delivered,0.0,5.09
119338,11557,2023-10-24,Completed,$3.99,8.52
103916,2340,2023-05-17,Delivered,,0.0
121547,12864,2024-01-25 16:34:00,completed,,9.73
107976,4776,2025-09-26,completed,,9.43
117829,10643,2025-06-03 19:56:00,complete,,0.0
105068,3051,2024-12-31,COMPLETE,,12.06
116751,10022,2025-01-05,completed,0.0,8.61
105304,3203,2025-02-17,RETURNED,,0.0
122982,13721,2024-10-15 13:18:00,COMPLETE,0.0,0.0
114107,8462,2025-03-02,DELIVERED,,0.0
122280,13317,2025-06-03,COMPLETE,0.0,0.0
109929,5918,2023-08-25,Completed,4.31,0.0
103931,2346,2025-12-09,SHIPPED,0.0,10.75
125506,15269,2025-12-01,COMPLETE,,5.43
110378,6196,2025-12-20,COMPLETE,,0.0
110226,6106,2025-03-31,Completed,,0.0
126167,15672,2025-04-26,Delivered,0.0,0.0
100250,152,2024-09-15,shipped,0.0,0.0
121403,12775,2024-10-24,CANCELLED,,8.0
117305,10348,2024-03-26,Returned,60.0,0.0
111145,6667,2025-01-20,COMPLETE,0.0,0.0
113349,8008,2023-01-26,completed,0.0,0.0
122130,13225,2024-12-08,complete,,5.76
112024,7191,2025-08-30 17:57:00,DELIVERED,11.15,0.0
102730,1615,2025-12-24 15:44:00,Refunded,0.0,8.37
109757,5815,2025-06-16,RETURNED,0.0,0.0
123082,13778,2023-06-17,COMPLETE,,0.0
107613,4574,2024-12-13,complete,0.0,11.18
104699,2819,2025-10-01,complete,5.6,0.0
122396,13380,2025-09-30,returned,0.0,0.0
118439,11014,2024-10-25,SHIPPED,$5.69,0.0
118620,11115,2025-12-27,complete,15.95,0.0
111726,7010,2025-12-01,Delivered,0.0,0.0
114032,8420,2023-08-02,Delivered,5.52,5.63
101710,1011,2025-08-11,Completed,,5.46
120709,12368,2023-01-30,completed,0.0,0.0
104070,2433,2025-11-09,delivered,,8.66
122132,13225,2025-01-05,DELIVERED,,0.0
116891,10105,2024-09-29,shipped,,0.0
125503,15267,2024-05-28,complete,5.37,7.78
115136,9072,2025-06-08,DELIVERED,,0.0
114811,8875,2024-07-31,REFUND,0.0,0.0
115539,9305,2025-01-25,returned,,0.0
123076,13775,2025-02-18,Delivered,0.0,6.63
107306,4397,2025-10-02,COMPLETE,,0.0
125887,15502,2024-08-25,Completed,60.0,0.0
126487,15864,2024-12-12 17:27:00,delivered,$10.41,0.0
102383,1412,2025-08-18,COMPLETE,,0.0
102540,1508,2025-05-22,complete,0.0,0.0
126417,15823,2025-05-18,shipped,,11.97
102414,1431,2025-07-20 11:46:00,shipped,,0.0
120615,12316,2023-11-09,Shipped,0.0,5.47
108137,4866,2025-12-30,RETURNED,5.4,9.78
125501,15266,2025-10-19,SHIPPED,,0.0
106027,3639,2023-07-31,complete,0.0,0.0
122178,13258,2025-05-03,COMPLETE,4.33,11.18
109676,5769,2025-12-09,shipped,0.0,8.59
109962,5941,2023-02-22,COMPLETE,,6.49
108796,5265,2023-11-27,DELIVERED,$10.23,0.0
102772,1642,2024-04-25,delivered,,0.0
104859,2913,2023-11-24 11:54:00,DELIVERED,,11.92
114431,8642,2025-12-22,Delivered,0.0,0.0
101388,833,2023-05-06,COMPLETE,0.0,0.0
124126,14415,2024-01-27,COMPLETE,0.0,0.0
120591,12297,2025-06-04,COMPLETE,0.0,0.0
109407,5613,2025-07-28,complete,0.0,0.0
118521,11059,2025-12-23,delivered,11.55,0.0
125698,15392,2023-09-29,in transit,,7.12
106481,3918,2024-09-15,Shipped,0.0,0.0
106095,3681,2025-11-05,completed,0.0,10.53
125545,15293,2025-11-25,completed,6.96,0.0
124523,14649,2023-01-17,DELIVERED,0.0,0.0
117365,10383,2024-03-18,REFUND,,9.39
104165,2491,2025-11-28,completed,0.0,12.07
102208,1312,2024-11-30,complete,20.88,0.0
117440,10431,2024-12-10,complete,0.0,0.0
110880,6490,2024-02-23,Delivered,,0.0
121658,12928,2024-09-15,complete,4.57,5.79
120585,12295,2023-08-28,DELIVERED,,11.23
108863,5302,2025-04-25,Shipped,$8.14,0.0
122859,13651,2025-12-01,completed,0.0,0.0
118465,11031,2023-07-21,Delivered,,0.0
111131,6658,2024-02-18 11:21:00,CANCELLED,0.0,0.0
105513,3325,2025-10-09,SHIPPED,,0.0
122842,13640,2023-11-26 09:27:00,delivered,0.0,0.0
121731,12977,2024-06-22,Returned,$3.81,9.3
115270,9150,2024-06-15,Completed,,0.0
126124,15646,2023-01-11,Completed,0.0,0.0
116735,10014,2024-05-07,in transit,0.0,12.81
114836,8890,2025-08-13,Completed,18.63,0.0
118131,10830,2024-10-29,delivered,,0.0
100980,584,2024-03-15 11:40:00,COMPLETE,0.0,0.0
106418,3882,2023-05-26 13:34:00,complete,,0.0
110122,6039,2023-12-28,Completed,0.0,0.0
115347,9200,2025-09-26,Completed,0.0,0.0
110359,6184,2024-05-11,COMPLETE,0.0,0.0
125029,14960,2025-11-10,COMPLETE,,5.01
117198,10283,2025-10-13,Refunded,,0.0
106830,4115,2025-03-10,Completed,0.0,0.0
108900,5323,2025-12-30,delivered,3.63,12.16
120509,12256,2025-06-02,delivered,,9.93
108956,5361,2024-10-17,completed,,11.45
108406,5030,2025-11-20,COMPLETE,0.0,11.11
111206,6701,2025-08-04,Completed,,7.22
116373,9794,2025-12-18,complete,,0.0
119221,11483,2023-12-02,completed,6.68,0.0
120279,12121,2024-11-29,COMPLETE,,0.0
111414,6821,2025-12-27,completed,,0.0
103843,2298,2024-01-02,COMPLETE,,0.0
108958,5362,2024-10-23 09:58:00,complete,0.0,0.0
102864,1699,2025-12-07,Completed,0.0,0.0
122549,13468,2024-02-01,Refunded,0.0,4.95
123035,13752,2024-12-12,COMPLETE,,0.0
124801,14808,2025-09-23,COMPLETE,0.0,0.0
116128,9654,2024-02-19,complete,0.0,0.0
119535,11685,2025-11-17,complete,0.0,0.0
105816,3520,2024-11-10,Completed,0.0,5.46
109163,5465,2025-01-13,completed,0.0,10.54
109926,5916,2024-04-02,COMPLETE,14.7,0.0
101901,1120,2023-12-06,completed,,0.0
122145,13235,2024-12-06,in transit,,0.0
108019,4798,2025-12-01,Completed,,7.92
118089,10798,2025-12-01 18:18:00,COMPLETE,0.0,8.93
116623,9949,2025-10-28,Completed,0.0,0.0
125253,15105,2025-12-17,Delivered,,11.4
119881,11876,2025-10-24,complete,$12.92,0.0
122120,13220,2025-12-20,Completed,0.0,8.85
102734,1617,2025-09-07,complete,0.0,0.0
123636,14130,2024-12-12,COMPLETE,,0.0
121868,13069,2025-12-16,Completed,0.0,7.9
120844,12454,2025-12-30,completed,10.32,0.0
106503,3935,2023-10-13,complete,,5.15
113208,7922,2024-07-10,Completed,,5.52
116424,9825,2024-06-24,COMPLETE,0.0,0.0
106528,3951,2025-09-19,RETURNED,0.0,0.0
105485,3305,2024-08-15,DELIVERED,,12.4
102676,1589,2025-04-28,Completed,0.0,0.0
120030,11971,2025-03-01,DELIVERED,0.0,0.0
116148,9664,2023-09-26,complete,,6.98
107251,4359,2025-11-29,Returned,,0.0
112758,7648,2025-08-11,in transit,28.07,0.0
113657,8205,2024-09-22,RETURNED,,0.0
125609,15335,2025-05-17,COMPLETE,0.0,0.0
117075,10218,2025-07-16,COMPLETE,$7.56,6.83
114994,8983,2025-12-31,Completed,0.0,0.0
106011,3628,2024-03-03,complete,,6.32
117782,10616,2023-03-30,completed,7.43,0.0
121813,13029,2025-12-02 15:38:00,completed,0.5,7.82
106435,3891,2025-01-11,Completed,29.47,0.0
101962,1160,2025-12-04,completed,,6.91
104178,2499,2025-11-10,delivered,$6.03,12.76
111255,6731,2023-02-25,Returned,0.0,0.0
124687,14732,2023-11-25,completed,1.43,12.86
125993,15570,2024-05-13,completed,,0.0
126409,15818,2024-11-30,completed,7.59,0.0
111482,6872,2025-12-08,complete,33.8,0.0
121605,12895,2024-07-14,complete,0.0,5.85
121359,12751,2025-04-21,complete,0.0,7.93
111815,7063,2024-12-20,completed,,0.0
110741,6405,2025-04-22,complete,,8.15
108952,5358,2025-04-22,COMPLETE,0.0,0.0
113366,8022,2025-11-06,Delivered,,5.8
118602,11105,2025-12-10,Completed,0.0,0.0
114617,8754,2025-11-03,complete,,12.43
121105,12595,2024-11-21 13:28:00,completed,0.0,8.47
113421,8055,2023-11-01,Completed,0.0,0.0
100428,258,2023-11-12,delivered,,12.24
122387,13375,2023-11-19,completed,0.0,0.0
119947,11916,2025-11-16,complete,,12.32
103316,1966,2025-09-02,DELIVERED,0.0,12.43
109977,5951,2024-07-22,Completed,,6.03
103398,2013,2025-12-18,completed,30.92,0.0
109565,5716,2023-11-06,DELIVERED,,9.59
122966,13714,2024-02-07,Completed,$20.11,0.0
109520,5684,2024-08-21,COMPLETE,0.0,0.0
110091,6021,2024-06-16 17:31:00,SHIPPED,0.0,0.0
112908,7740,2025-10-29,delivered,,0.0
103541,2099,2024-05-16,completed,6.99,10.51
124343,14542,2025-05-24,COMPLETE,0.0,0.0
110071,6009,2025-06-02,complete,37.25,0.0
115132,9068,2023-12-11,completed,4.45,11.79
114054,8432,2024-11-04,DELIVERED,0.0,0.0
108843,5293,2024-10-18,completed,,0.0
105418,3257,2025-10-04,Returned,0.0,7.73
119268,11514,2023-06-30,completed,,6.51
111844,7080,2023-12-30,completed,,0.0
123090,13782,2025-11-27,COMPLETE,,0.0
107204,4336,2025-12-20,COMPLETE,10.97,0.0
118305,10926,2025-04-23,Delivered,0.0,5.9
122915,13679,2025-05-14,completed,,7.07
122225,13288,2025-03-16,Completed,,0.0
101635,975,2025-10-16,Shipped,,0.0
106951,4177,2024-10-13 14:53:00,complete,,12.37
103876,2320,2025-05-13,completed,0.0,7.57
106750,4069,2024-06-08,completed,,6.79
120774,12411,2024-09-05,Completed,,0.0
122494,13439,2024-12-02 16:42:00,Completed,0.0,11.98
122758,969371,2024-10-07,Completed,,9.69
112794,7669,2025-03-14,complete,0.0,0.0
113487,8101,2024-02-15,completed,0.0,0.0
113722,8246,2024-10-21,Delivered,,0.0
104843,2903,2025-06-27,Completed,0.0,5.2
107536,4533,2023-02-08,Delivered,0.0,0.0
108037,4810,2023-02-05,delivered,0.0,0.0
123937,14306,2024-01-17,DELIVERED,0.0,12.53
104894,2937,2024-04-22,DELIVERED,0.0,0.0
109201,5489,2025-11-11,Completed,0.0,12.22
118236,10889,2023-11-18,Completed,,0.0
110987,6561,2024-11-07,Completed,0.0,0.0
121025,12555,2023-02-07,COMPLETE,,0.0
121056,12568,2023-09-04 12:17:00,Completed,0.0,0.0
108447,5053,2024-03-05,COMPLETE,$19.61,0.0
119780,11816,2024-12-31 19:08:00,complete,0.0,0.0
123598,14105,2023-04-16,complete,,12.88
103919,2341,2025-12-30 09:46:00,Delivered,1.93,7.85
119175,11458,2025-11-30,COMPLETE,0.0,10.17
111974,7161,2025-05-17,Completed,0.0,0.0
126553,15901,2024-04-02 16:17:00,refunded,0.0,10.45
117192,10282,2024-12-02,returned,,7.49
106599,3990,2023-12-14 12:08:00,completed,0.0,0.0
107428,4465,2024-07-23,in transit,,0.0
105038,3036,2025-11-27,complete,18.29,0.0
118968,11329,2024-11-23,COMPLETE,0.0,8.26
123176,13841,2023-03-07,COMPLETE,,0.0
101972,1167,2025-12-01,DELIVERED,,6.85
111227,6714,2023-03-28,Completed,19.53,0.0
119405,11598,2023-11-27,complete,3.81,9.5
109071,5418,2025-06-25 18:36:00,COMPLETE,,0.0
123962,14326,2024-06-19,complete,5.77,11.39
121145,12618,2025-06-23,COMPLETE,0.0,0.0
103100,1845,2025-10-28,delivered,,0.0
105865,3544,2025-05-05,COMPLETE,,0.0
105953,3596,2025-12-08,Completed,3.26,11.34
107569,4548,2025-05-21,COMPLETE,0.0,0.0
112152,7271,2025-08-28,COMPLETE,0.0,9.87
121226,12669,2024-12-29,complete,0.0,12.88
122504,13444,2025-07-19,shipped,,0.0
107858,4713,2024-12-11,Refunded,,0.0
106325,3826,2025-12-07,Refunded,,0.0
100642,386,2025-10-30,Shipped,,6.22
125117,15019,2025-06-29,COMPLETE,19.28,0.0
113298,7978,2025-12-16,complete,9.0,10.73
123207,13857,2023-08-26,completed,20.11,0.0
123432,14001,2025-11-15,CANCELLED,,9.64
106522,3947,2025-05-30 11:31:00,completed,4.39,11.91
103860,2307,2024-07-01,DELIVERED,,0.0
107209,4339,2024-08-12,complete,0.0,12.42
124129,14416,2025-11-10,completed,,6.73
115705,9399,2024-09-03,COMPLETE,,11.25
112179,7287,2025-12-01,complete,0.0,11.15
102929,1739,2025-06-25,Completed,,0.0
125605,15332,2025-12-19,Returned,,0.0
102595,1544,2025-02-08,completed,15.98,0.0
115280,9158,2023-07-18,complete,0.0,0.0
115376,9214,2023-10-27,REFUND,,0.0
111008,6574,2023-06-05,COMPLETE,,9.07
107359,4428,2025-11-10,completed,,0.0
125271,15121,2024-02-05 19:35:00,COMPLETE,5.97,7.05
104345,2602,2024-11-19,Completed,5.81,9.57
104484,2687,2024-06-19,Delivered,1.51,12.18
112865,7714,2025-08-10,COMPLETE,$4.10,8.43
104125,2466,2024-10-25 13:17:00,shipped,,0.0
116864,10088,2025-12-23,completed,12.03,0.0
121177,12642,2024-02-17,complete,0.0,10.1
108309,4969,2023-07-13,Completed,,0.0
108665,5177,2025-12-01,DELIVERED,,0.0
109826,5856,2025-08-31,SHIPPED,0.0,5.02
115778,9443,2025-12-09,complete,0.0,7.96
104405,2640,2023-07-20,complete,2.17,7.03
105199,3132,2023-08-31,Refunded,0.0,5.04
119043,11378,2025-11-01,complete,,5.8
107175,4316,2025-12-29,COMPLETE,0.0,8.13
126033,15597,2024-12-02,Refunded,0.0,8.99
123532,14059,2025-12-09,delivered,0.0,0.0
112989,7791,2023-08-31,Refunded,0.0,10.06
103014,1791,2025-11-30,COMPLETE,$2.43,5.79
116844,10079,2023-11-27 13:34:00,delivered,,5.71
115676,9383,2025-12-31,complete,,8.61
124336,14539,2025-12-27,delivered,0.0,6.1
126609,15938,2025-11-30 13:15:00,complete,0.0,0.0
109353,5581,2024-06-21,Completed,20.17,0.0
114911,8932,2023-07-17,Completed,0.0,10.41
112555,7524,2023-11-28,delivered,,9.49
107916,4739,2023-12-22,complete,,0.0
123886,14276,2025-09-10,Delivered,,0.0
122608,13504,2025-11-05,CANCELLED,,6.93
108607,5144,2025-08-13,completed,,10.54
112551,7521,2025-02-22,SHIPPED,0.0,0.0
124975,14928,2025-03-27,delivered,$37.30,0.0
121028,12557,2024-09-23,Completed,1.51,7.94
115081,9040,2025-02-26 19:16:00,REFUND,0.0,0.0
104384,2625,2024-07-15,Completed,15.11,0.0
105771,3495,2024-12-25 11:56:00,Completed,,0.0
115766,9436,2025-06-15,complete,25.24,0.0
119125,11428,2025-07-25,Returned,0.0,0.0
107948,4755,2025-10-01,refunded,0.0,0.0
118707,11172,2025-04-23,Completed,,0.0
119985,11945,2023-09-09,complete,,8.7
116624,9950,2025-06-06,complete,0.0,7.59
103482,2063,2023-11-27,complete,0.0,11.35
101837,1076,2025-09-25,Shipped,3.55,10.16
107568,4547,2024-06-30,DELIVERED,,0.0
119746,11798,2024-12-17,SHIPPED,,9.02
106769,4079,2025-12-23,Completed,2.09,8.81
113227,7935,2024-12-20,complete,$8.49,6.55
104322,2588,2023-11-24,CANCELLED,,6.84
101937,1147,2025-12-01,Completed,0.0,0.0
101202,715,2024-10-13,complete,,6.76
119270,11516,2024-01-09,complete,,8.94
121956,13122,2024-05-16,complete,,0.0
104774,2867,2025-08-18,Completed,7.98,0.0
105610,3385,2025-11-08,COMPLETE,,0.0
115912,9517,2025-06-07,Delivered,,7.09
125814,15458,2025-08-23 08:26:00,COMPLETE,,0.0
109872,5879,2024-11-29,CANCELLED,0.0,10.07
124404,14577,2023-12-15,Delivered,,0.0
112654,7586,2023-04-26,delivered,8.01,7.44
122218,13283,2025-09-04,complete,0.0,0.0
103707,2207,2025-12-13,completed,3.25,11.6
108763,5243,2024-04-04,completed,11.35,0.0
114718,8817,2023-12-07,Refunded,,0.0
115964,9550,2023-10-24,Completed,0.0,12.39
118513,11055,2025-12-30,REFUND,,6.24
114234,8529,2025-03-17,DELIVERED,,0.0
115130,9068,2023-02-27,Delivered,0.0,0.0
106535,3955,2025-07-15,DELIVERED,,8.35
107317,4404,2024-07-18,complete,0.0,0.0
102762,1637,2024-03-20,Completed,,0.0
112072,7222,2025-01-23,delivered,0.0,0.0
124138,14422,2025-05-27,Refunded,0.0,0.0
116556,9906,2025-06-07,complete,0.0,10.04
126168,15672,2025-08-20 13:46:00,Cancelled,0.0,6.85
119673,11755,2025-04-16,Completed,0.0,6.54
108857,5299,2025-12-04,DELIVERED,0.0,0.0
125565,15303,2025-05-07,Shipped,,0.0
113321,7995,2023-11-27,complete,3.14,11.63
110243,6114,2024-12-02,Completed,0.0,0.0
122959,13709,2024-08-04,in transit,,0.0
124740,14768,2025-08-09,complete,,0.0
112052,7211,2025-12-28 12:49:00,COMPLETE,0.0,8.76
110137,6050,2025-06-11,Delivered,,9.83
105720,3461,2024-02-17,complete,,12.08
110784,6434,2024-05-31,complete,,12.76
124594,14680,2025-11-27,Completed,0.0,0.0
118181,10855,2023-08-22,Completed,,5.07
113207,7922,2024-06-27,complete,0.0,12.86
119733,11793,2025-04-29,cancelled,,0.0
125747,15417,2023-04-04 19:09:00,Refunded,0.0,0.0
116290,9746,2025-11-19,complete,8.05,4.97
105306,3203,2025-04-15,Completed,2.7,6.82
120133,12034,2024-11-15,COMPLETE,,8.05
122768,13595,2023-11-07,Completed,,0.0
126683,15990,2025-05-30,complete,,0.0
119219,11482,2025-12-11,completed,0.0,9.32
116756,10026,2024-10-28,complete,20.89,0.0
125416,15218,2025-10-08,REFUND,0.0,0.0
124055,14373,2025-04-28,CANCELLED,14.72,0.0
122298,13329,2023-12-24,cancelled,0.0,0.0
117689,10565,2024-11-07,Completed,3.85,9.28
117818,10634,2025-10-21,completed,19.25,0.0
119367,11572,2025-08-25,Refunded,,5.69
126457,15844,2025-07-10,Refunded,,0.0
115565,9319,2025-12-01,DELIVERED,$25.87,0.0
109427,5627,2025-08-02,complete,0.0,7.23
123545,14069,2024-02-29,complete,$5.25,9.55
116598,9931,2024-08-31,COMPLETE,$4.22,9.44
106483,3920,2024-08-06,complete,,0.0
103002,1784,2025-06-29,delivered,,0.0
106392,3864,2025-09-14,Completed,9.63,0.0
106340,3836,2025-09-29,Completed,,0.0
114378,8612,2025-07-10,complete,10.38,0.0
109585,5725,2023-10-01,SHIPPED,25.6,0.0
108980,5375,2024-10-26,RETURNED,,10.72
115373,9212,2025-03-18,COMPLETE,,0.0
103639,2161,2025-02-27,complete,0.0,8.61
113010,7798,2025-12-30,SHIPPED,,8.52
107886,4729,2025-12-13,complete,,0.0
110606,6324,2025-03-12,DELIVERED,,9.13
114975,8972,2025-03-11,Delivered,,0.0
107691,4623,2023-06-16,in transit,23.09,0.0
123200,13853,2024-12-11,returned,,8.09
109508,5676,2024-12-04,complete,3.86,11.68
102213,1314,2023-08-22,DELIVERED,$44.82,0.0
106699,4042,2023-12-28,completed,$12.83,0.0
117869,10665,2024-05-24,delivered,,0.0
111921,7128,2024-12-10,delivered,,0.0
103265,1939,2025-06-12,completed,,0.0
122378,13369,2025-02-17,SHIPPED,0.0,0.0
125152,15037,2025-10-22,shipped,0.0,10.94
122265,13310,2023-06-22,COMPLETE,0.0,0.0
119455,11632,2023-08-23,CANCELLED,0.0,12.89
113755,8262,2024-09-26,complete,0.0,0.0
114313,8569,2025-06-23 10:42:00,complete,$3.30,5.14
117891,10677,2025-11-16,delivered,0.0,0.0
125940,15535,2024-03-18,canceled,0.0,0.0
109038,5407,2023-06-06,complete,5.77,0.0
101215,723,2025-02-09 13:14:00,COMPLETE,,0.0
109517,5681,2025-12-28,Completed,,0.0
105598,3381,2025-12-29,Returned,0.0,6.78
100474,289,2024-08-04 18:13:00,returned,,0.0
113022,7807,2024-12-31,DELIVERED,0.0,0.0
110120,6038,2024-09-03 15:54:00,complete,,0.0
118586,11095,2024-04-15,Completed,,0.0
101804,1054,2023-12-25,RETURNED,10.78,0.0
118964,11326,2025-08-10 16:14:00,Completed,,8.58
123726,14187,2025-12-18 15:05:00,in transit,0.0,10.55
118790,11220,2023-11-27,Delivered,$4.08,9.96
116217,9703,2025-12-02,COMPLETE,0.0,10.62
118119,10821,2024-06-23,complete,$27.43,0.0
108144,4869,2025-12-14,Completed,,0.0
106241,3774,2025-03-30,Completed,0.0,0.0
125937,15533,2025-09-03,completed,0.0,0.0
112261,7343,2025-11-15,Completed,11.5,0.0
106067,3660,2025-01-08,DELIVERED,0.0,0.0
112081,7227,2025-11-19,complete,,8.06
116875,10097,2024-11-22 13:02:00,complete,0.0,12.82
100536,325,2023-11-23,Completed,0.0,10.83
123507,14046,2025-12-18,completed,6.39,0.0
121884,13079,2023-07-10,delivered,,0.0
112804,7674,2024-10-14,DELIVERED,0.0,0.0
113314,7991,2025-11-28,shipped,19.36,0.0
110735,6401,2024-02-01,completed,,0.0
117659,10553,2025-10-16,SHIPPED,0.0,11.44
101444,861,2024-09-30,Completed,0.0,0.0
105551,3349,2024-05-28,complete,0.0,5.07
111681,6983,2024-12-01,completed,6.84,9.8
121882,13077,2025-12-31,COMPLETE,$8.07,7.29
107819,4695,2025-12-01,completed,,6.58
120048,11981,2024-11-18,Shipped,,7.25
116813,10060,2025-12-31,SHIPPED,0.0,8.34
106814,4107,2024-11-06,completed,0.0,8.3
111147,6667,2025-12-01,Completed,,7.82
112738,7636,2025-10-15,RETURNED,0.0,0.0
109515,5680,2025-07-19,RETURNED,,6.63
116697,9992,2023-11-03,Completed,0.0,5.92
118306,10927,2024-01-14,COMPLETE,0.0,0.0
124927,14900,2024-03-19 08:33:00,complete,,9.16
